Source,Relation,Target
Application Component,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Component,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Application Component,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Component,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Component,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Component,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Component,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Component,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Component,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Component,"AccessRelationship,AssociationRelationship",Business Object
Application Component,"AccessRelationship,AssociationRelationship",Contract
Application Component,"AccessRelationship,AssociationRelationship",Representation
Application Component,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Application Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Application Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Collaboration,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Collaboration,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Collaboration,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Collaboration,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Collaboration,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Collaboration,"AccessRelationship,AssociationRelationship",Business Object
Application Collaboration,"AccessRelationship,AssociationRelationship",Contract
Application Collaboration,"AccessRelationship,AssociationRelationship",Representation
Application Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Application Interface,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Interface,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Application Interface,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Interface,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Interface,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Interface,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Interface,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Interface,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Interface,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Interface,"AccessRelationship,AssociationRelationship",Business Object
Application Interface,"AccessRelationship,AssociationRelationship",Contract
Application Interface,"AccessRelationship,AssociationRelationship",Representation
Application Interface,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Application Function,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Function,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
