Source,Relation,Target
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Business Actor,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Business Actor,"AccessRelationship,AssociationRelationship",Data Object
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Business Role ,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Business Role ,"AccessRelationship,AssociationRelationship",Data Object
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Business Collaboration,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
