Source,Relation,Target
Application Collaboration,CompositionRelationship,Application Component
Application Collaboration,FlowRelationship,Application Component
Application Collaboration,AggregationRelationship,Application Component
Application Collaboration,AssociationRelationship,Application Component
Application Collaboration,RealizationRelationship,Application Component
Application Collaboration,SpecializationRelationship,Application Component
Application Collaboration,TriggeringRelationship,Application Component
Application Collaboration,ServingRelationship,Application Component
Application Collaboration,CompositionRelationship,Application Collaboration
Application Collaboration,FlowRelationship,Application Collaboration
Application Collaboration,AggregationRelationship,Application Collaboration
Application Collaboration,AssociationRelationship,Application Collaboration
Application Collaboration,SpecializationRelationship,Application Collaboration
Application Collaboration,TriggeringRelationship,Application Collaboration
Application Collaboration,ServingRelationship,Application Collaboration
Application Collaboration,CompositionRelationship,Application Interface
Application Collaboration,FlowRelationship,Application Interface
Application Collaboration,AggregationRelationship,Application Interface
Application Collaboration,AssociationRelationship,Application Interface
Application Collaboration,SpecializationRelationship,Application Interface
Application Collaboration,TriggeringRelationship,Application Interface
Application Collaboration,ServingRelationship,Application Interface
Application Collaboration,CompositionRelationship,Application Funcation
Application Collaboration,FlowRelationship,Application Funcation
Application Collaboration,AggregationRelationship,Application Funcation
Application Collaboration,AssociationRelationship,Application Funcation
Application Collaboration,SpecializationRelationship,Application Funcation
Application Collaboration,TriggeringRelationship,Application Funcation
Application Collaboration,ServingRelationship,Application Funcation
Application Collaboration,CompositionRelationship,Application Interaction
Application Collaboration,FlowRelationship,Application Interaction
Application Collaboration,AggregationRelationship,Application Interaction
Application Collaboration,AssociationRelationship,Application Interaction
Application Collaboration,SpecializationRelationship,Application Interaction
Application Collaboration,TriggeringRelationship,Application Interaction
Application Collaboration,ServingRelationship,Application Interaction
Application Collaboration,CompositionRelationship,Application Process
Application Collaboration,FlowRelationship,Application Process
Application Collaboration,AggregationRelationship,Application Process
Application Collaboration,AssociationRelationship,Application Process
Application Collaboration,SpecializationRelationship,Application Process
Application Collaboration,TriggeringRelationship,Application Process
Application Collaboration,ServingRelationship,Application Process
Application Collaboration,CompositionRelationship,Application Event
Application Collaboration,FlowRelationship,Application Event
Application Collaboration,AggregationRelationship,Application Event
Application Collaboration,AssociationRelationship,Application Event
Application Collaboration,SpecializationRelationship,Application Event
Application Collaboration,TriggeringRelationship,Application Event
Application Collaboration,ServingRelationship,Application Event
Application Collaboration,CompositionRelationship,Application Service
Application Collaboration,FlowRelationship,Application Service
Application Collaboration,AggregationRelationship,Application Service
Application Collaboration,AssociationRelationship,Application Service
Application Collaboration,SpecializationRelationship,Application Service
Application Collaboration,TriggeringRelationship,Application Service
Application Collaboration,ServingRelationship,Application Service
Application Collaboration,CompositionRelationship,Data Object
Application Collaboration,AggregationRelationship,Data Object
Application Collaboration,AssociationRelationship,Data Object
Application Collaboration,SpecializationRelationship,Data Object
Application Interface,CompositionRelationship,Application Component
Application Interface,FlowRelationship,Application Component
Application Interface,AggregationRelationship,Application Component
Application Interface,AssociationRelationship,Application Component
Application Interface,RealizationRelationship,Application Component
Application Interface,SpecializationRelationship,Application Component
Application Interface,TriggeringRelationship,Application Component
Application Interface,ServingRelationship,Application Component
Application Interface,CompositionRelationship,Application Collaboration
Application Interface,FlowRelationship,Application Collaboration
Application Interface,AggregationRelationship,Application Collaboration
Application Interface,AssociationRelationship,Application Collaboration
Application Interface,SpecializationRelationship,Application Collaboration
Application Interface,TriggeringRelationship,Application Collaboration
Application Interface,ServingRelationship,Application Collaboration
Application Interface,CompositionRelationship,Application Interface
Application Interface,FlowRelationship,Application Interface
Application Interface,AggregationRelationship,Application Interface
Application Interface,AssociationRelationship,Application Interface
Application Interface,SpecializationRelationship,Application Interface
Application Interface,TriggeringRelationship,Application Interface
Application Interface,ServingRelationship,Application Interface
Application Interface,CompositionRelationship,Application Funcation
Application Interface,FlowRelationship,Application Funcation
Application Interface,AggregationRelationship,Application Funcation
Application Interface,AssociationRelationship,Application Funcation
Application Interface,SpecializationRelationship,Application Funcation
Application Interface,TriggeringRelationship,Application Funcation
Application Interface,ServingRelationship,Application Funcation
Application Interface,CompositionRelationship,Application Interaction
Application Interface,FlowRelationship,Application Interaction
Application Interface,AggregationRelationship,Application Interaction
Application Interface,AssociationRelationship,Application Interaction
Application Interface,SpecializationRelationship,Application Interaction
Application Interface,TriggeringRelationship,Application Interaction
Application Interface,ServingRelationship,Application Interaction
Application Interface,CompositionRelationship,Application Process
Application Interface,FlowRelationship,Application Process
Application Interface,AggregationRelationship,Application Process
Application Interface,AssociationRelationship,Application Process
Application Interface,SpecializationRelationship,Application Process
Application Interface,TriggeringRelationship,Application Process
Application Interface,ServingRelationship,Application Process
Application Interface,CompositionRelationship,Application Event
Application Interface,FlowRelationship,Application Event
Application Interface,AggregationRelationship,Application Event
Application Interface,AssociationRelationship,Application Event
Application Interface,SpecializationRelationship,Application Event
Application Interface,TriggeringRelationship,Application Event
Application Interface,ServingRelationship,Application Event
Application Interface,CompositionRelationship,Application Service
Application Interface,FlowRelationship,Application Service
Application Interface,AggregationRelationship,Application Service
Application Interface,AssociationRelationship,Application Service
Application Interface,SpecializationRelationship,Application Service
Application Interface,TriggeringRelationship,Application Service
Application Interface,ServingRelationship,Application Service
Application Interface,CompositionRelationship,Data Object
Application Interface,AggregationRelationship,Data Object
Application Interface,AssociationRelationship,Data Object
Application Interface,SpecializationRelationship,Data Object
Application Funcation,CompositionRelationship,Application Component
Application Funcation,FlowRelationship,Application Component
Application Funcation,AggregationRelationship,Application Component
Application Funcation,AssociationRelationship,Application Component
Application Funcation,RealizationRelationship,Application Component
Application Funcation,SpecializationRelationship,Application Component
Application Funcation,TriggeringRelationship,Application Component
Application Funcation,ServingRelationship,Application Component
Application Funcation,CompositionRelationship,Application Collaboration
Application Funcation,FlowRelationship,Application Collaboration
Application Funcation,AggregationRelationship,Application Collaboration
Application Funcation,AssociationRelationship,Application Collaboration
Application Funcation,SpecializationRelationship,Application Collaboration
Application Funcation,TriggeringRelationship,Application Collaboration
Application Funcation,ServingRelationship,Application Collaboration
