Source,Relation,Target
Business Actor,FlowRelationship,Application Component
Business Actor,AssociationRelationship,Application Component
Business Actor,TriggeringRelationship,Application Component
Business Actor,ServingRelationship,Application Component
Business Actor,FlowRelationship,Application Collaboration
Business Actor,AssociationRelationship,Application Collaboration
Business Actor,TriggeringRelationship,Application Collaboration
Business Actor,ServingRelationship,Application Collaboration
Business Actor,FlowRelationship,Application Interface
Business Actor,AssociationRelationship,Application Interface
Business Actor,TriggeringRelationship,Application Interface
Business Actor,ServingRelationship,Application Interface
Business Actor,FlowRelationship,Application Function
Business Actor,AssociationRelationship,Application Function
Business Actor,TriggeringRelationship,Application Function
Business Actor,ServingRelationship,Application Function
Business Actor,FlowRelationship,Application Interaction
Business Actor,AssociationRelationship,Application Interaction
Business Actor,TriggeringRelationship,Application Interaction
Business Actor,ServingRelationship,Application Interaction
Business Actor,FlowRelationship,Application Process
Business Actor,AssociationRelationship,Application Process
Business Actor,TriggeringRelationship,Application Process
Business Actor,ServingRelationship,Application Process
Business Actor,FlowRelationship,Application Event
Business Actor,AssociationRelationship,Application Event
Business Actor,TriggeringRelationship,Application Event
Business Actor,ServingRelationship,Application Event
Business Actor,FlowRelationship,Application Service
Business Actor,AssociationRelationship,Application Service
Business Actor,TriggeringRelationship,Application Service
Business Actor,ServingRelationship,Application Service
Business Actor,AccessRelationship,Data Object
Business Actor,AssociationRelationship,Data Object
Business Role ,FlowRelationship,Application Component
Business Role ,AssociationRelationship,Application Component
Business Role ,TriggeringRelationship,Application Component
Business Role ,ServingRelationship,Application Component
Business Role ,FlowRelationship,Application Collaboration
Business Role ,AssociationRelationship,Application Collaboration
Business Role ,TriggeringRelationship,Application Collaboration
Business Role ,ServingRelationship,Application Collaboration
Business Role ,FlowRelationship,Application Interface
Business Role ,AssociationRelationship,Application Interface
Business Role ,TriggeringRelationship,Application Interface
Business Role ,ServingRelationship,Application Interface
Business Role ,FlowRelationship,Application Function
Business Role ,AssociationRelationship,Application Function
Business Role ,TriggeringRelationship,Application Function
Business Role ,ServingRelationship,Application Function
Business Role ,FlowRelationship,Application Interaction
Business Role ,AssociationRelationship,Application Interaction
Business Role ,TriggeringRelationship,Application Interaction
Business Role ,ServingRelationship,Application Interaction
Business Role ,FlowRelationship,Application Process
Business Role ,AssociationRelationship,Application Process
Business Role ,TriggeringRelationship,Application Process
Business Role ,ServingRelationship,Application Process
Business Role ,FlowRelationship,Application Event
Business Role ,AssociationRelationship,Application Event
Business Role ,TriggeringRelationship,Application Event
Business Role ,ServingRelationship,Application Event
Business Role ,FlowRelationship,Application Service
Business Role ,AssociationRelationship,Application Service
Business Role ,TriggeringRelationship,Application Service
Business Role ,ServingRelationship,Application Service
Business Role ,AccessRelationship,Data Object
Business Role ,AssociationRelationship,Data Object
Business Collaboration,FlowRelationship,Application Component
Business Collaboration,AssociationRelationship,Application Component
Business Collaboration,TriggeringRelationship,Application Component
Business Collaboration,ServingRelationship,Application Component
Business Collaboration,FlowRelationship,Application Collaboration
Business Collaboration,AssociationRelationship,Application Collaboration
Business Collaboration,TriggeringRelationship,Application Collaboration
Business Collaboration,ServingRelationship,Application Collaboration
