Source,Relation,Target
Business Actor,CompositionRelationship,Business Actor
Business Actor,FlowRelationship,Business Actor
Business Actor,AggregationRelationship,Business Actor
Business Actor,AssociationRelationship,Business Actor
Business Actor,SpecializationRelationship,Business Actor
Business Actor,TriggeringRelationship,Business Actor
Business Actor,ServingRelationship,Business Actor
Business Actor,CompositionRelationship,Business Role 
Business Actor,FlowRelationship,Business Role 
Business Actor,AggregationRelationship,Business Role 
Business Actor,AssociationRelationship,Business Role 
Business Actor,SpecializationRelationship,Business Role 
Business Actor,TriggeringRelationship,Business Role 
Business Actor,ServingRelationship,Business Role 
Business Actor,CompositionRelationship,Business Collaboration
Business Actor,FlowRelationship,Business Collaboration
Business Actor,AggregationRelationship,Business Collaboration
Business Actor,AssociationRelationship,Business Collaboration
Business Actor,SpecializationRelationship,Business Collaboration
Business Actor,TriggeringRelationship,Business Collaboration
Business Actor,ServingRelationship,Business Collaboration
Business Actor,CompositionRelationship,Business Interface
Business Actor,FlowRelationship,Business Interface
Business Actor,AggregationRelationship,Business Interface
Business Actor,AssignmentRelationship,Business Interface
Business Actor,AssociationRelationship,Business Interface
Business Actor,TriggeringRelationship,Business Interface
Business Actor,ServingRelationship,Business Interface
Business Actor,FlowRelationship,Business Process
Business Actor,AssociationRelationship,Business Process
Business Actor,TriggeringRelationship,Business Process
Business Actor,ServingRelationship,Business Process
Business Actor,CompositionRelationship,Business Function
Business Actor,FlowRelationship,Business Function
Business Actor,AggregationRelationship,Business Function
Business Actor,AssociationRelationship,Business Function
Business Actor,SpecializationRelationship,Business Function
Business Actor,TriggeringRelationship,Business Function
Business Actor,ServingRelationship,Business Function
Business Actor,CompositionRelationship,Business Interaction
Business Actor,FlowRelationship,Business Interaction
Business Actor,AggregationRelationship,Business Interaction
Business Actor,AssociationRelationship,Business Interaction
Business Actor,SpecializationRelationship,Business Interaction
Business Actor,TriggeringRelationship,Business Interaction
Business Actor,ServingRelationship,Business Interaction
Business Actor,CompositionRelationship,Business Event
Business Actor,FlowRelationship,Business Event
Business Actor,AggregationRelationship,Business Event
Business Actor,AssociationRelationship,Business Event
Business Actor,SpecializationRelationship,Business Event
Business Actor,TriggeringRelationship,Business Event
Business Actor,ServingRelationship,Business Event
Business Actor,CompositionRelationship,Business Service
Business Actor,FlowRelationship,Business Service
Business Actor,AggregationRelationship,Business Service
Business Actor,AssociationRelationship,Business Service
Business Actor,SpecializationRelationship,Business Service
Business Actor,TriggeringRelationship,Business Service
Business Actor,ServingRelationship,Business Service
Business Actor,CompositionRelationship,Business Object
Business Actor,AggregationRelationship,Business Object
Business Actor,AssociationRelationship,Business Object
Business Actor,SpecializationRelationship,Business Object
Business Actor,CompositionRelationship,Representation
Business Actor,AggregationRelationship,Representation
Business Actor,AssociationRelationship,Representation
Business Actor,SpecializationRelationship,Representation
Business Actor,CompositionRelationship,Contract
Business Actor,AggregationRelationship,Contract
Business Actor,AssociationRelationship,Contract
Business Actor,SpecializationRelationship,Contract
Business Actor,CompositionRelationship,Product
Business Actor,FlowRelationship,Product
Business Actor,AggregationRelationship,Product
Business Actor,AssociationRelationship,Product
Business Actor,SpecializationRelationship,Product
Business Actor,TriggeringRelationship,Product
Business Actor,ServingRelationship,Product
Business Role ,CompositionRelationship,Business Actor
Business Role ,FlowRelationship,Business Actor
Business Role ,AggregationRelationship,Business Actor
Business Role ,AssociationRelationship,Business Actor
Business Role ,SpecializationRelationship,Business Actor
Business Role ,TriggeringRelationship,Business Actor
Business Role ,ServingRelationship,Business Actor
Business Role ,CompositionRelationship,Business Role 
Business Role ,FlowRelationship,Business Role 
Business Role ,AggregationRelationship,Business Role 
Business Role ,AssociationRelationship,Business Role 
Business Role ,SpecializationRelationship,Business Role 
Business Role ,TriggeringRelationship,Business Role 
Business Role ,ServingRelationship,Business Role 
Business Role ,CompositionRelationship,Business Collaboration
Business Role ,FlowRelationship,Business Collaboration
Business Role ,AggregationRelationship,Business Collaboration
Business Role ,AssociationRelationship,Business Collaboration
Business Role ,SpecializationRelationship,Business Collaboration
Business Role ,TriggeringRelationship,Business Collaboration
Business Role ,ServingRelationship,Business Collaboration
Business Role ,CompositionRelationship,Business Interface
Business Role ,FlowRelationship,Business Interface
Business Role ,AggregationRelationship,Business Interface
Business Role ,AssignmentRelationship,Business Interface
Business Role ,AssociationRelationship,Business Interface
Business Role ,TriggeringRelationship,Business Interface
Business Role ,ServingRelationship,Business Interface
Business Role ,FlowRelationship,Business Process
Business Role ,AssociationRelationship,Business Process
Business Role ,TriggeringRelationship,Business Process
Business Role ,ServingRelationship,Business Process
Business Role ,CompositionRelationship,Business Function
Business Role ,FlowRelationship,Business Function
Business Role ,AggregationRelationship,Business Function
Business Role ,AssociationRelationship,Business Function
Business Role ,SpecializationRelationship,Business Function
Business Role ,TriggeringRelationship,Business Function
Business Role ,ServingRelationship,Business Function
Business Role ,CompositionRelationship,Business Interaction
Business Role ,FlowRelationship,Business Interaction
Business Role ,AggregationRelationship,Business Interaction
Business Role ,AssociationRelationship,Business Interaction
Business Role ,SpecializationRelationship,Business Interaction
Business Role ,TriggeringRelationship,Business Interaction
Business Role ,ServingRelationship,Business Interaction
Business Role ,CompositionRelationship,Business Event
Business Role ,FlowRelationship,Business Event
Business Role ,AggregationRelationship,Business Event
Business Role ,AssociationRelationship,Business Event
Business Role ,SpecializationRelationship,Business Event
Business Role ,TriggeringRelationship,Business Event
Business Role ,ServingRelationship,Business Event
Business Role ,CompositionRelationship,Business Service
Business Role ,FlowRelationship,Business Service
Business Role ,AggregationRelationship,Business Service
Business Role ,AssociationRelationship,Business Service
Business Role ,SpecializationRelationship,Business Service
Business Role ,TriggeringRelationship,Business Service
Business Role ,ServingRelationship,Business Service
Business Role ,CompositionRelationship,Business Object
Business Role ,AggregationRelationship,Business Object
Business Role ,AssociationRelationship,Business Object
Business Role ,SpecializationRelationship,Business Object
Business Role ,CompositionRelationship,Representation
Business Role ,AggregationRelationship,Representation
Business Role ,AssociationRelationship,Representation
Business Role ,SpecializationRelationship,Representation
Business Role ,CompositionRelationship,Contract
Business Role ,AggregationRelationship,Contract
Business Role ,AssociationRelationship,Contract
Business Role ,SpecializationRelationship,Contract
Business Role ,CompositionRelationship,Product
Business Role ,FlowRelationship,Product
Business Role ,AggregationRelationship,Product
Business Role ,AssociationRelationship,Product
Business Role ,SpecializationRelationship,Product
Business Role ,TriggeringRelationship,Product
Business Role ,ServingRelationship,Product
Business Collaboration,CompositionRelationship,Business Actor
Business Collaboration,FlowRelationship,Business Actor
Business Collaboration,AggregationRelationship,Business Actor
Business Collaboration,AssociationRelationship,Business Actor
Business Collaboration,SpecializationRelationship,Business Actor
Business Collaboration,TriggeringRelationship,Business Actor
Business Collaboration,ServingRelationship,Business Actor
Business Collaboration,CompositionRelationship,Business Role 
Business Collaboration,FlowRelationship,Business Role 
Business Collaboration,AggregationRelationship,Business Role 
Business Collaboration,AssociationRelationship,Business Role 
Business Collaboration,SpecializationRelationship,Business Role 
Business Collaboration,TriggeringRelationship,Business Role 
Business Collaboration,ServingRelationship,Business Role 
Business Collaboration,CompositionRelationship,Business Collaboration
Business Collaboration,FlowRelationship,Business Collaboration
Business Collaboration,AggregationRelationship,Business Collaboration
Business Collaboration,AssociationRelationship,Business Collaboration
Business Collaboration,SpecializationRelationship,Business Collaboration
Business Collaboration,TriggeringRelationship,Business Collaboration
Business Collaboration,ServingRelationship,Business Collaboration
Business Collaboration,CompositionRelationship,Business Interface
Business Collaboration,FlowRelationship,Business Interface
Business Collaboration,AggregationRelationship,Business Interface
Business Collaboration,AssignmentRelationship,Business Interface
Business Collaboration,AssociationRelationship,Business Interface
Business Collaboration,TriggeringRelationship,Business Interface
Business Collaboration,ServingRelationship,Business Interface
Business Collaboration,FlowRelationship,Business Process
Business Collaboration,AssociationRelationship,Business Process
Business Collaboration,TriggeringRelationship,Business Process
Business Collaboration,ServingRelationship,Business Process
Business Collaboration,CompositionRelationship,Business Function
Business Collaboration,FlowRelationship,Business Function
Business Collaboration,AggregationRelationship,Business Function
Business Collaboration,AssociationRelationship,Business Function
Business Collaboration,SpecializationRelationship,Business Function
Business Collaboration,TriggeringRelationship,Business Function
Business Collaboration,ServingRelationship,Business Function
Business Collaboration,CompositionRelationship,Business Interaction
Business Collaboration,FlowRelationship,Business Interaction
Business Collaboration,AggregationRelationship,Business Interaction
Business Collaboration,AssociationRelationship,Business Interaction
Business Collaboration,SpecializationRelationship,Business Interaction
Business Collaboration,TriggeringRelationship,Business Interaction
Business Collaboration,ServingRelationship,Business Interaction
Business Collaboration,CompositionRelationship,Business Event
Business Collaboration,FlowRelationship,Business Event
Business Collaboration,AggregationRelationship,Business Event
Business Collaboration,AssociationRelationship,Business Event
Business Collaboration,SpecializationRelationship,Business Event
Business Collaboration,TriggeringRelationship,Business Event
Business Collaboration,ServingRelationship,Business Event
Business Collaboration,CompositionRelationship,Business Service
Business Collaboration,FlowRelationship,Business Service
Business Collaboration,AggregationRelationship,Business Service
Business Collaboration,AssociationRelationship,Business Service
Business Collaboration,SpecializationRelationship,Business Service
Business Collaboration,TriggeringRelationship,Business Service
Business Collaboration,ServingRelationship,Business Service
Business Collaboration,CompositionRelationship,Business Object
Business Collaboration,AggregationRelationship,Business Object
Business Collaboration,AssociationRelationship,Business Object
Business Collaboration,SpecializationRelationship,Business Object
Business Collaboration,CompositionRelationship,Representation
Business Collaboration,AggregationRelationship,Representation
Business Collaboration,AssociationRelationship,Representation
Business Collaboration,SpecializationRelationship,Representation
Business Collaboration,CompositionRelationship,Contract
Business Collaboration,AggregationRelationship,Contract
Business Collaboration,AssociationRelationship,Contract
Business Collaboration,SpecializationRelationship,Contract
Business Collaboration,CompositionRelationship,Product
Business Collaboration,FlowRelationship,Product
Business Collaboration,AggregationRelationship,Product
Business Collaboration,AssociationRelationship,Product
Business Collaboration,SpecializationRelationship,Product
Business Collaboration,TriggeringRelationship,Product
Business Collaboration,ServingRelationship,Product
Business Interface,CompositionRelationship,Business Actor
Business Interface,FlowRelationship,Business Actor
Business Interface,AggregationRelationship,Business Actor
Business Interface,AssociationRelationship,Business Actor
Business Interface,SpecializationRelationship,Business Actor
Business Interface,TriggeringRelationship,Business Actor
Business Interface,ServingRelationship,Business Actor
Business Interface,CompositionRelationship,Business Role 
Business Interface,FlowRelationship,Business Role 
Business Interface,AggregationRelationship,Business Role 
Business Interface,AssociationRelationship,Business Role 
Business Interface,SpecializationRelationship,Business Role 
Business Interface,TriggeringRelationship,Business Role 
Business Interface,ServingRelationship,Business Role 
Business Interface,CompositionRelationship,Business Collaboration
Business Interface,FlowRelationship,Business Collaboration
Business Interface,AggregationRelationship,Business Collaboration
Business Interface,AssociationRelationship,Business Collaboration
Business Interface,SpecializationRelationship,Business Collaboration
Business Interface,TriggeringRelationship,Business Collaboration
Business Interface,ServingRelationship,Business Collaboration
Business Interface,CompositionRelationship,Business Interface
Business Interface,FlowRelationship,Business Interface
Business Interface,AggregationRelationship,Business Interface
Business Interface,AssignmentRelationship,Business Interface
Business Interface,AssociationRelationship,Business Interface
Business Interface,TriggeringRelationship,Business Interface
Business Interface,ServingRelationship,Business Interface
Business Interface,FlowRelationship,Business Process
Business Interface,AssociationRelationship,Business Process
Business Interface,TriggeringRelationship,Business Process
Business Interface,ServingRelationship,Business Process
Business Interface,CompositionRelationship,Business Function
Business Interface,FlowRelationship,Business Function
Business Interface,AggregationRelationship,Business Function
Business Interface,AssociationRelationship,Business Function
Business Interface,SpecializationRelationship,Business Function
Business Interface,TriggeringRelationship,Business Function
Business Interface,ServingRelationship,Business Function
Business Interface,CompositionRelationship,Business Interaction
Business Interface,FlowRelationship,Business Interaction
Business Interface,AggregationRelationship,Business Interaction
Business Interface,AssociationRelationship,Business Interaction
Business Interface,SpecializationRelationship,Business Interaction
Business Interface,TriggeringRelationship,Business Interaction
Business Interface,ServingRelationship,Business Interaction
Business Interface,CompositionRelationship,Business Event
Business Interface,FlowRelationship,Business Event
Business Interface,AggregationRelationship,Business Event
Business Interface,AssociationRelationship,Business Event
Business Interface,SpecializationRelationship,Business Event
Business Interface,TriggeringRelationship,Business Event
Business Interface,ServingRelationship,Business Event
Business Interface,CompositionRelationship,Business Service
Business Interface,FlowRelationship,Business Service
Business Interface,AggregationRelationship,Business Service
Business Interface,AssociationRelationship,Business Service
Business Interface,SpecializationRelationship,Business Service
Business Interface,TriggeringRelationship,Business Service
Business Interface,ServingRelationship,Business Service
Business Interface,CompositionRelationship,Business Object
Business Interface,AggregationRelationship,Business Object
Business Interface,AssociationRelationship,Business Object
Business Interface,SpecializationRelationship,Business Object
Business Interface,CompositionRelationship,Representation
Business Interface,AggregationRelationship,Representation
Business Interface,AssociationRelationship,Representation
Business Interface,SpecializationRelationship,Representation
Business Interface,CompositionRelationship,Contract
Business Interface,AggregationRelationship,Contract
Business Interface,AssociationRelationship,Contract
Business Interface,SpecializationRelationship,Contract
Business Interface,CompositionRelationship,Product
Business Interface,FlowRelationship,Product
Business Interface,AggregationRelationship,Product
Business Interface,AssociationRelationship,Product
Business Interface,SpecializationRelationship,Product
Business Interface,TriggeringRelationship,Product
Business Interface,ServingRelationship,Product
Business Process,CompositionRelationship,Business Actor
Business Process,FlowRelationship,Business Actor
Business Process,AggregationRelationship,Business Actor
Business Process,AssociationRelationship,Business Actor
Business Process,SpecializationRelationship,Business Actor
Business Process,TriggeringRelationship,Business Actor
Business Process,ServingRelationship,Business Actor
Business Process,CompositionRelationship,Business Role 
Business Process,FlowRelationship,Business Role 
Business Process,AggregationRelationship,Business Role 
Business Process,AssociationRelationship,Business Role 
Business Process,SpecializationRelationship,Business Role 
Business Process,TriggeringRelationship,Business Role 
Business Process,ServingRelationship,Business Role 
Business Process,CompositionRelationship,Business Collaboration
Business Process,FlowRelationship,Business Collaboration
Business Process,AggregationRelationship,Business Collaboration
Business Process,AssociationRelationship,Business Collaboration
Business Process,SpecializationRelationship,Business Collaboration
Business Process,TriggeringRelationship,Business Collaboration
Business Process,ServingRelationship,Business Collaboration
Business Process,CompositionRelationship,Business Interface
Business Process,FlowRelationship,Business Interface
Business Process,AggregationRelationship,Business Interface
Business Process,AssignmentRelationship,Business Interface
Business Process,AssociationRelationship,Business Interface
Business Process,TriggeringRelationship,Business Interface
Business Process,ServingRelationship,Business Interface
Business Process,FlowRelationship,Business Process
Business Process,AssociationRelationship,Business Process
Business Process,TriggeringRelationship,Business Process
Business Process,ServingRelationship,Business Process
Business Process,CompositionRelationship,Business Function
Business Process,FlowRelationship,Business Function
Business Process,AggregationRelationship,Business Function
Business Process,AssociationRelationship,Business Function
Business Process,SpecializationRelationship,Business Function
Business Process,TriggeringRelationship,Business Function
Business Process,ServingRelationship,Business Function
Business Process,CompositionRelationship,Business Interaction
Business Process,FlowRelationship,Business Interaction
Business Process,AggregationRelationship,Business Interaction
Business Process,AssociationRelationship,Business Interaction
Business Process,SpecializationRelationship,Business Interaction
Business Process,TriggeringRelationship,Business Interaction
Business Process,ServingRelationship,Business Interaction
Business Process,CompositionRelationship,Business Event
Business Process,FlowRelationship,Business Event
Business Process,AggregationRelationship,Business Event
Business Process,AssociationRelationship,Business Event
Business Process,SpecializationRelationship,Business Event
Business Process,TriggeringRelationship,Business Event
Business Process,ServingRelationship,Business Event
Business Process,CompositionRelationship,Business Service
Business Process,FlowRelationship,Business Service
Business Process,AggregationRelationship,Business Service
Business Process,AssociationRelationship,Business Service
Business Process,SpecializationRelationship,Business Service
Business Process,TriggeringRelationship,Business Service
Business Process,ServingRelationship,Business Service
Business Process,CompositionRelationship,Business Object
Business Process,AggregationRelationship,Business Object
Business Process,AssociationRelationship,Business Object
Business Process,SpecializationRelationship,Business Object
Business Process,CompositionRelationship,Representation
Business Process,AggregationRelationship,Representation
Business Process,AssociationRelationship,Representation
Business Process,SpecializationRelationship,Representation
Business Process,CompositionRelationship,Contract
Business Process,AggregationRelationship,Contract
Business Process,AssociationRelationship,Contract
Business Process,SpecializationRelationship,Contract
Business Process,CompositionRelationship,Product
Business Process,FlowRelationship,Product
Business Process,AggregationRelationship,Product
Business Process,AssociationRelationship,Product
Business Process,SpecializationRelationship,Product
Business Process,TriggeringRelationship,Product
Business Process,ServingRelationship,Product
Business Function,CompositionRelationship,Business Actor
Business Function,FlowRelationship,Business Actor
Business Function,AggregationRelationship,Business Actor
Business Function,AssociationRelationship,Business Actor
Business Function,SpecializationRelationship,Business Actor
Business Function,TriggeringRelationship,Business Actor
